angulo_braco_direito,y_punho_direito,y_ombro_direito,angulo_braco_esquerdo,y_punho_esquerdo,y_ombro_esquerdo,rotulo
169,0.7868914604187012,0.575539231300354,169,0.8136181831359863,0.5851980447769165,correto
172,0.7756298184394836,0.575555145740509,175,0.8036607503890991,0.5853058099746704,correto
174,0.763981282711029,0.5755460262298584,177,0.7942056655883789,0.5856494903564453,correto
174,0.7469387650489807,0.5755478739738464,176,0.7847647666931152,0.5856494307518005,correto
175,0.7322293519973755,0.5750705003738403,179,0.7656021118164062,0.5849868059158325,correto
178,0.7204018235206604,0.5748791098594666,179,0.7519181370735168,0.5844088196754456,correto
178,0.7046462893486023,0.5742124319076538,178,0.7374421954154968,0.5838829278945923,correto
179,0.6866283416748047,0.5731613636016846,173,0.712340772151947,0.5834073424339294,correto
178,0.6667274832725525,0.5723277926445007,168,0.6914986968040466,0.5825685262680054,correto
177,0.6491595506668091,0.5718013644218445,169,0.6774587035179138,0.5816280245780945,correto
173,0.6279327273368835,0.5709787607192993,167,0.6747401356697083,0.5808013677597046,correto
162,0.6001598834991455,0.5699028968811035,165,0.6587232351303101,0.5788119435310364,correto
166,0.5721904039382935,0.5662027597427368,162,0.6230658292770386,0.5639801621437073,correto
167,0.5656999945640564,0.5669459104537964,160,0.6139119863510132,0.5663014054298401,correto
165,0.5533345937728882,0.5669575929641724,156,0.5969296097755432,0.567976713180542,correto
167,0.532987117767334,0.569806694984436,162,0.58589106798172,0.5637868046760559,correto
167,0.5340644121170044,0.5678670406341553,159,0.5786077976226807,0.5642720460891724,correto
165,0.5348942875862122,0.5663574934005737,161,0.5770912170410156,0.5646530985832214,correto
164,0.5372610688209534,0.5693583488464355,166,0.5804744362831116,0.5668755173683167,correto
166,0.5468428730964661,0.5662624835968018,165,0.583864688873291,0.5661051273345947,correto
164,0.5485486388206482,0.566261887550354,161,0.5763539671897888,0.5659614205360413,correto
166,0.571857213973999,0.5630368590354919,168,0.5953525900840759,0.5642480254173279,correto
164,0.5794650912284851,0.5653520822525024,165,0.6047489643096924,0.5640653371810913,correto
169,0.6144605875015259,0.5700118541717529,162,0.6282179951667786,0.5729700326919556,correto
175,0.648806095123291,0.5737326741218567,163,0.6544546484947205,0.5708119869232178,correto
178,0.6648926138877869,0.572862982749939,164,0.6628572940826416,0.5742491483688354,correto
177,0.6785224676132202,0.5722585320472717,168,0.6736855506896973,0.576610803604126,correto
177,0.7017579078674316,0.5724350214004517,174,0.6906250715255737,0.5791303515434265,correto
177,0.7159374952316284,0.5732576251029968,176,0.7113239765167236,0.5823158025741577,correto
178,0.7256680130958557,0.573276698589325,171,0.7274985909461975,0.5828955769538879,correto
176,0.738983690738678,0.5732864141464233,171,0.7434501647949219,0.584739089012146,correto
174,0.750726580619812,0.5734269022941589,172,0.7541945576667786,0.5864675045013428,correto
175,0.7615906000137329,0.573821485042572,169,0.7694464325904846,0.5878456234931946,correto
